epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,404.607,1.48098,1.58314,1.84628,0.54815,0.73437,0.721,0.42331,1.56097,1.29348,1.91255,0.0007294,0.0007294,0.0007294
43,413.933,1.48034,1.5915,1.85,0.59365,0.7132,0.72314,0.40417,1.59771,1.21502,1.94812,0.0007228,0.0007228,0.0007228
44,424.145,1.47668,1.56611,1.83225,0.56034,0.65528,0.63758,0.3854,1.53701,1.26524,1.93437,0.0007162,0.0007162,0.0007162
45,434.256,1.47412,1.57788,1.83959,0.57217,0.74045,0.72966,0.41143,1.58879,1.2049,1.97847,0.0007096,0.0007096,0.0007096
46,444.781,1.47255,1.56453,1.84042,0.57132,0.7175,0.7063,0.39716,1.59429,1.28467,1.95807,0.000703,0.000703,0.000703
47,455.176,1.4597,1.57224,1.85128,0.65624,0.72847,0.75247,0.43268,1.58741,1.17258,1.91597,0.0006964,0.0006964,0.0006964
48,465.275,1.45722,1.55507,1.83298,0.83426,0.62505,0.77846,0.44928,1.50201,1.23908,1.86502,0.0006898,0.0006898,0.0006898
49,475.602,1.45774,1.5483,1.8152,0.67524,0.71914,0.81319,0.43152,1.5121,1.21656,1.8712,0.0006832,0.0006832,0.0006832
50,485.971,1.42459,1.54055,1.80704,0.63956,0.76462,0.76597,0.43401,1.52469,1.13006,1.90177,0.0006766,0.0006766,0.0006766
51,496.572,1.44127,1.49106,1.80841,0.63145,0.80165,0.79405,0.4581,1.49362,1.16463,1.87625,0.00067,0.00067,0.00067
52,507.459,1.42742,1.51087,1.80019,0.65194,0.66999,0.72971,0.43494,1.50258,1.21698,1.8705,0.0006634,0.0006634,0.0006634
53,518.13,1.43826,1.52117,1.81249,0.57501,0.79638,0.71785,0.42501,1.48136,1.18158,1.90139,0.0006568,0.0006568,0.0006568
54,528.31,1.43315,1.51428,1.80483,0.55232,0.77318,0.74132,0.43891,1.49464,1.16257,1.89822,0.0006502,0.0006502,0.0006502
55,539.276,1.4078,1.46608,1.78838,0.70005,0.71316,0.76513,0.43761,1.46407,1.18073,1.85315,0.0006436,0.0006436,0.0006436
56,549.075,1.4132,1.49133,1.79011,0.54424,0.75018,0.7396,0.42153,1.55431,1.21061,1.8972,0.000637,0.000637,0.000637
57,559.381,1.43707,1.48967,1.79569,0.56333,0.7852,0.75508,0.44474,1.45012,1.19582,1.88404,0.0006304,0.0006304,0.0006304
58,570.167,1.41642,1.46582,1.78805,0.49627,0.74081,0.6833,0.39241,1.53558,1.27937,1.88199,0.0006238,0.0006238,0.0006238
59,580.712,1.41887,1.46536,1.7932,0.56267,0.76334,0.71782,0.4275,1.49817,1.15624,1.86285,0.0006172,0.0006172,0.0006172
60,590.83,1.39777,1.45517,1.7634,0.66634,0.6532,0.69299,0.41325,1.4829,1.23065,1.86504,0.0006106,0.0006106,0.0006106
61,600.977,1.40031,1.45413,1.78058,0.59544,0.71245,0.73162,0.41972,1.57113,1.17437,1.94858,0.000604,0.000604,0.000604
62,611.027,1.40542,1.44772,1.78442,0.51667,0.80137,0.7,0.40145,1.47902,1.2708,1.85915,0.0005974,0.0005974,0.0005974
63,621.502,1.4286,1.46942,1.78889,0.51735,0.7732,0.66395,0.40883,1.5097,1.23328,1.87193,0.0005908,0.0005908,0.0005908
64,631.7,1.40435,1.45482,1.78574,0.6201,0.70133,0.71049,0.45131,1.42791,1.13449,1.83029,0.0005842,0.0005842,0.0005842
65,641.865,1.40741,1.43257,1.77106,0.59509,0.6549,0.75622,0.45183,1.51538,1.16934,1.85399,0.0005776,0.0005776,0.0005776
66,651.891,1.3957,1.43327,1.76501,0.55847,0.8189,0.765,0.43611,1.44548,1.18969,1.83405,0.000571,0.000571,0.000571
67,662.373,1.38946,1.44623,1.77101,0.6745,0.71862,0.76461,0.45237,1.43117,1.15881,1.81687,0.0005644,0.0005644,0.0005644
68,672.8,1.40519,1.4407,1.78223,0.58864,0.78359,0.71345,0.43042,1.52569,1.15284,1.92172,0.0005578,0.0005578,0.0005578
69,683.338,1.38471,1.43992,1.76006,0.8328,0.63349,0.69837,0.43167,1.53709,1.16936,1.97626,0.0005512,0.0005512,0.0005512
70,693.56,1.38419,1.41696,1.76065,0.65175,0.82017,0.7551,0.4374,1.52959,1.1164,1.88323,0.0005446,0.0005446,0.0005446
71,703.765,1.37769,1.40773,1.74747,0.56929,0.78776,0.71548,0.44263,1.43226,1.18285,1.81769,0.000538,0.000538,0.000538
72,714.067,1.38546,1.40233,1.75046,0.78992,0.68629,0.73307,0.45198,1.57525,1.16053,1.90257,0.0005314,0.0005314,0.0005314
73,724.289,1.38205,1.40508,1.75734,0.69514,0.6713,0.72434,0.43793,1.60259,1.16706,1.98541,0.0005248,0.0005248,0.0005248
74,734.026,1.37785,1.40263,1.75184,0.68461,0.71753,0.75433,0.39327,1.59783,1.21005,1.92335,0.0005182,0.0005182,0.0005182
75,744.283,1.36351,1.3875,1.7424,0.71797,0.74752,0.79342,0.46605,1.429,1.10463,1.79745,0.0005116,0.0005116,0.0005116
76,754.229,1.35391,1.38605,1.73698,0.52398,0.7623,0.71409,0.43189,1.53598,1.07631,1.92877,0.000505,0.000505,0.000505
77,764.176,1.36568,1.38887,1.74688,0.74191,0.80371,0.76804,0.44881,1.49469,1.12407,1.87547,0.0004984,0.0004984,0.0004984
78,774.209,1.36248,1.38006,1.73419,0.65355,0.77199,0.75762,0.45535,1.50718,1.10713,1.89318,0.0004918,0.0004918,0.0004918
79,784.411,1.35129,1.37965,1.73319,0.58262,0.78313,0.78618,0.42989,1.54065,1.15691,1.89126,0.0004852,0.0004852,0.0004852
80,794.521,1.3612,1.36717,1.73323,0.61698,0.74445,0.73179,0.43667,1.50113,1.12079,1.86149,0.0004786,0.0004786,0.0004786
81,804.738,1.3537,1.36882,1.73663,0.63752,0.78141,0.75409,0.44161,1.42769,1.13583,1.7775,0.000472,0.000472,0.000472
82,814.861,1.35721,1.35282,1.73617,0.66578,0.80847,0.81501,0.47485,1.49708,1.10575,1.86094,0.0004654,0.0004654,0.0004654
83,824.811,1.3243,1.33685,1.71514,0.72863,0.76363,0.78689,0.45327,1.47219,1.1048,1.82134,0.0004588,0.0004588,0.0004588
84,834.779,1.35902,1.36429,1.73575,0.5743,0.79281,0.75489,0.4581,1.47142,1.08159,1.83467,0.0004522,0.0004522,0.0004522
