epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,982.703,1.4793,1.57476,1.83351,0.57917,0.70214,0.73032,0.42282,1.48612,1.33253,1.8247,0.0007228,0.0007228,0.0007228
44,1005.56,1.46394,1.57548,1.82029,0.62538,0.68202,0.73921,0.42128,1.47388,1.32933,1.83802,0.0007162,0.0007162,0.0007162
45,1028.38,1.46653,1.55392,1.82103,0.53469,0.71749,0.72001,0.4231,1.49662,1.20639,1.83219,0.0007096,0.0007096,0.0007096
46,1051.15,1.45517,1.54058,1.811,0.7272,0.67379,0.74552,0.41283,1.49422,1.22817,1.82078,0.000703,0.000703,0.000703
47,1074.14,1.46259,1.554,1.81865,0.5566,0.75525,0.77747,0.44515,1.47666,1.25461,1.78701,0.0006964,0.0006964,0.0006964
48,1097.17,1.44713,1.53842,1.80501,0.76657,0.62297,0.69951,0.4152,1.53495,1.27096,1.8472,0.0006898,0.0006898,0.0006898
49,1120.04,1.43892,1.54383,1.80666,0.76337,0.64366,0.7616,0.41391,1.59042,1.25975,1.95094,0.0006832,0.0006832,0.0006832
50,1142.88,1.44211,1.51482,1.79735,0.539,0.7718,0.73099,0.43453,1.50547,1.20414,1.84893,0.0006766,0.0006766,0.0006766
51,1165.29,1.44154,1.52043,1.79045,0.76618,0.6666,0.731,0.40223,1.54445,1.2852,1.85695,0.00067,0.00067,0.00067
52,1187.48,1.45458,1.54745,1.78913,0.70969,0.69171,0.75386,0.42722,1.50034,1.22381,1.84538,0.0006634,0.0006634,0.0006634
53,1210.06,1.448,1.50306,1.80119,0.58994,0.73454,0.74804,0.43373,1.48301,1.26788,1.80612,0.0006568,0.0006568,0.0006568
54,1232.2,1.43248,1.51319,1.78471,0.77387,0.73559,0.7891,0.46254,1.49395,1.21193,1.828,0.0006502,0.0006502,0.0006502
55,1254.57,1.43601,1.50022,1.78395,0.70374,0.71488,0.77895,0.45351,1.43673,1.24157,1.79632,0.0006436,0.0006436,0.0006436
56,1276.81,1.43713,1.48239,1.78478,0.6134,0.75528,0.74582,0.42682,1.40633,1.23469,1.75133,0.000637,0.000637,0.000637
57,1299.05,1.43073,1.47865,1.7831,0.58591,0.7869,0.74466,0.45398,1.45246,1.26206,1.78259,0.0006304,0.0006304,0.0006304
58,1321.3,1.43177,1.48654,1.78533,0.74336,0.72004,0.77681,0.45537,1.4663,1.29064,1.79802,0.0006238,0.0006238,0.0006238
59,1343.91,1.41875,1.47089,1.77158,0.85512,0.63805,0.78365,0.45493,1.43685,1.18421,1.75691,0.0006172,0.0006172,0.0006172
60,1365.97,1.4158,1.47552,1.76772,0.8006,0.67062,0.78242,0.44382,1.43896,1.25519,1.78203,0.0006106,0.0006106,0.0006106
61,1387.92,1.42405,1.4599,1.76226,0.56404,0.76325,0.75892,0.43224,1.40199,1.21172,1.74034,0.000604,0.000604,0.000604
62,1410.11,1.39958,1.46607,1.76541,0.57901,0.752,0.75629,0.43631,1.49659,1.14264,1.79203,0.0005974,0.0005974,0.0005974
63,1432.19,1.40861,1.46747,1.76624,0.8356,0.70369,0.79359,0.47685,1.43702,1.16786,1.76746,0.0005908,0.0005908,0.0005908
64,1454.41,1.39799,1.41613,1.74778,0.69203,0.79054,0.74563,0.43836,1.5702,1.18022,1.90145,0.0005842,0.0005842,0.0005842
65,1476.62,1.39554,1.42676,1.7482,0.68325,0.75477,0.77305,0.45661,1.51217,1.17334,1.80201,0.0005776,0.0005776,0.0005776
66,1498.57,1.38793,1.42128,1.74345,0.8333,0.74747,0.8302,0.48187,1.40293,1.10154,1.74651,0.000571,0.000571,0.000571
67,1520.65,1.41034,1.4247,1.75421,0.79519,0.7352,0.81424,0.45958,1.50143,1.15758,1.82097,0.0005644,0.0005644,0.0005644
68,1542.88,1.40413,1.44628,1.75652,0.5653,0.78254,0.72066,0.44845,1.43114,1.24901,1.79791,0.0005578,0.0005578,0.0005578
69,1565.2,1.40598,1.44101,1.77012,0.83207,0.70401,0.79762,0.4854,1.43969,1.10838,1.74759,0.0005512,0.0005512,0.0005512
70,1587.49,1.39139,1.42905,1.74048,0.71463,0.782,0.82063,0.47544,1.492,1.17219,1.7976,0.0005446,0.0005446,0.0005446
71,1609.24,1.38295,1.43299,1.73444,0.76487,0.71139,0.78629,0.45995,1.50326,1.15363,1.81798,0.000538,0.000538,0.000538
72,1631.36,1.39875,1.42861,1.7606,0.61731,0.77462,0.75332,0.47937,1.3969,1.14539,1.7588,0.0005314,0.0005314,0.0005314
73,1654.36,1.38161,1.41254,1.73794,0.61956,0.7777,0.76352,0.42569,1.52487,1.17382,1.84424,0.0005248,0.0005248,0.0005248
74,1677.08,1.37625,1.38565,1.72163,0.64999,0.80796,0.77978,0.444,1.48668,1.12352,1.8082,0.0005182,0.0005182,0.0005182
75,1699.8,1.37866,1.40405,1.72845,0.74813,0.71672,0.77704,0.46106,1.4671,1.14251,1.77765,0.0005116,0.0005116,0.0005116
76,1722.49,1.38184,1.416,1.74589,0.57478,0.79431,0.70488,0.40384,1.45811,1.25798,1.78752,0.000505,0.000505,0.000505
77,1745.32,1.37399,1.38969,1.73133,0.59756,0.7623,0.7531,0.41988,1.55707,1.13489,1.86266,0.0004984,0.0004984,0.0004984
78,1768.41,1.37525,1.39581,1.73269,0.75107,0.69687,0.77324,0.44243,1.46966,1.14823,1.77938,0.0004918,0.0004918,0.0004918
79,1791.22,1.36124,1.36819,1.71883,0.62613,0.74083,0.74511,0.42748,1.55009,1.14291,1.8536,0.0004852,0.0004852,0.0004852
80,1813.91,1.36084,1.37155,1.7267,0.73819,0.74954,0.7968,0.46932,1.4801,1.15217,1.77455,0.0004786,0.0004786,0.0004786
81,1836.35,1.35636,1.37425,1.71799,0.53452,0.82745,0.75907,0.4425,1.45928,1.16788,1.76958,0.000472,0.000472,0.000472
82,1859.04,1.34848,1.36449,1.71269,0.59466,0.78134,0.75498,0.43894,1.49101,1.1548,1.79557,0.0004654,0.0004654,0.0004654
83,1881.81,1.36732,1.37159,1.71894,0.65376,0.76437,0.80369,0.46053,1.54739,1.18324,1.83881,0.0004588,0.0004588,0.0004588
84,1904.43,1.35085,1.34527,1.70993,0.76972,0.71819,0.78112,0.46868,1.44036,1.17449,1.72079,0.0004522,0.0004522,0.0004522
85,1926.93,1.34282,1.33409,1.71455,0.60048,0.78949,0.75596,0.46878,1.46354,1.13944,1.74556,0.0004456,0.0004456,0.0004456
