epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.328,3.44258,4.2898,4.08486,0.0008,0.22917,0.00499,0.00101,3.2954,3.90706,4.00782,0.00033033,0.00033033,0.00033033
2,46.9601,2.90926,3.84216,3.50546,0.74015,0.14093,0.11624,0.0311,2.771,3.23568,3.52609,0.000659283,0.000659283,0.000659283
3,69.5408,2.54404,3.43157,3.03063,0.2393,0.18819,0.08714,0.01817,2.68505,4.00566,3.2523,0.000983837,0.000983837,0.000983837
4,91.2941,2.28803,3.12895,2.74936,0.3312,0.33493,0.25314,0.0823,2.25993,2.8747,2.83485,0.0009802,0.0009802,0.0009802
5,113.393,2.13661,2.83881,2.56763,0.59889,0.17741,0.21656,0.06375,2.40721,3.57735,2.92666,0.0009736,0.0009736,0.0009736
6,135.171,2.00703,2.62181,2.42245,0.49197,0.40997,0.34141,0.14477,2.03938,3.02918,2.56719,0.000967,0.000967,0.000967
7,157.561,1.94016,2.53369,2.35744,0.57149,0.37394,0.48858,0.19673,2.0092,2.33576,2.46976,0.0009604,0.0009604,0.0009604
8,179.833,1.88092,2.42955,2.30264,0.46327,0.42254,0.40964,0.19584,1.86998,2.23372,2.30484,0.0009538,0.0009538,0.0009538
9,202.11,1.82503,2.32091,2.24796,0.82449,0.22328,0.20127,0.07679,2.24792,3.5378,2.89703,0.0009472,0.0009472,0.0009472
10,224.098,1.79489,2.20641,2.20275,0.78171,0.40495,0.51578,0.24525,1.79459,1.89464,2.28959,0.0009406,0.0009406,0.0009406
11,246.364,1.76055,2.20424,2.17314,0.49241,0.61317,0.58996,0.26142,1.84572,1.94994,2.27558,0.000934,0.000934,0.000934
12,268.455,1.75151,2.09446,2.16345,0.52955,0.46184,0.44346,0.18761,1.88399,2.0656,2.27293,0.0009274,0.0009274,0.0009274
13,289.907,1.71847,2.09731,2.10831,0.70563,0.51239,0.6276,0.30156,1.68017,1.76748,2.0808,0.0009208,0.0009208,0.0009208
14,311.599,1.68155,2.00911,2.08597,0.5898,0.6286,0.55871,0.28956,1.78044,1.62854,2.1558,0.0009142,0.0009142,0.0009142
15,333.386,1.68464,1.99889,2.07246,0.49076,0.55366,0.56229,0.23686,1.76336,1.79286,2.1719,0.0009076,0.0009076,0.0009076
16,355.27,1.67036,1.97737,2.06642,0.46376,0.54805,0.54194,0.22923,1.79201,1.91179,2.17536,0.000901,0.000901,0.000901
17,377.145,1.65235,1.91875,2.02375,0.50153,0.75805,0.68043,0.33474,1.73851,1.5892,2.12253,0.0008944,0.0008944,0.0008944
18,399.046,1.64077,1.90032,2.02325,0.49664,0.69047,0.61619,0.30455,1.70373,1.81387,2.07589,0.0008878,0.0008878,0.0008878
19,420.664,1.63331,1.91215,2.00683,0.77768,0.50381,0.54704,0.29044,1.63877,1.63663,2.04412,0.0008812,0.0008812,0.0008812
20,442.55,1.64304,1.88514,2.0186,0.63156,0.60086,0.5295,0.23396,1.79609,1.81568,2.16939,0.0008746,0.0008746,0.0008746
21,464.33,1.60485,1.8576,1.99698,0.65583,0.56351,0.67236,0.31134,1.81825,1.55633,2.15596,0.000868,0.000868,0.000868
22,486.245,1.59913,1.81964,1.98183,0.65249,0.61324,0.66284,0.33143,1.61382,1.54478,1.98393,0.0008614,0.0008614,0.0008614
23,507.759,1.61539,1.84038,1.98459,0.71692,0.63386,0.6749,0.35445,1.58345,1.54284,1.92421,0.0008548,0.0008548,0.0008548
24,529.887,1.5863,1.79616,1.96899,0.42103,0.61747,0.63853,0.31062,1.75153,1.64828,2.08132,0.0008482,0.0008482,0.0008482
25,551.791,1.57394,1.77373,1.96037,0.68811,0.50323,0.66586,0.35577,1.56836,1.46721,1.9427,0.0008416,0.0008416,0.0008416
26,573.582,1.55442,1.76519,1.93394,0.63396,0.71546,0.71061,0.41904,1.47819,1.37211,1.86195,0.000835,0.000835,0.000835
27,595.383,1.55777,1.74893,1.92758,0.51408,0.57975,0.57882,0.28092,1.67488,1.76532,2.07695,0.0008284,0.0008284,0.0008284
28,617.186,1.54318,1.71989,1.92153,0.56134,0.63714,0.66353,0.34763,1.6253,1.49236,1.97389,0.0008218,0.0008218,0.0008218
29,639.183,1.52976,1.72549,1.91782,0.48912,0.71018,0.65015,0.33772,1.54802,1.49416,1.89073,0.0008152,0.0008152,0.0008152
30,660.956,1.54847,1.71775,1.92,0.50823,0.67611,0.67686,0.36163,1.55061,1.36011,1.88823,0.0008086,0.0008086,0.0008086
31,682.702,1.53929,1.67212,1.90541,0.7902,0.63418,0.77012,0.40483,1.5558,1.34554,1.90571,0.000802,0.000802,0.000802
32,704.952,1.53236,1.68846,1.89923,0.56347,0.80132,0.71684,0.39595,1.53017,1.36357,1.90704,0.0007954,0.0007954,0.0007954
33,727.198,1.53249,1.68596,1.90532,0.56138,0.76019,0.73636,0.39806,1.45038,1.32057,1.82741,0.0007888,0.0007888,0.0007888
34,749.118,1.5209,1.66289,1.89732,0.67459,0.6427,0.6925,0.35865,1.59708,1.39422,1.92919,0.0007822,0.0007822,0.0007822
35,771.241,1.51611,1.64473,1.87233,0.4715,0.69547,0.69616,0.36329,1.54207,1.42744,1.88508,0.0007756,0.0007756,0.0007756
36,793.218,1.50922,1.64568,1.87432,0.75897,0.58571,0.69842,0.37513,1.6068,1.30762,1.94917,0.000769,0.000769,0.000769
37,815.515,1.48424,1.61288,1.85989,0.51174,0.66331,0.67886,0.39878,1.48676,1.39425,1.82756,0.0007624,0.0007624,0.0007624
38,837.494,1.47743,1.62379,1.85385,0.67206,0.67822,0.71446,0.41241,1.54,1.33819,1.88064,0.0007558,0.0007558,0.0007558
39,859.594,1.4811,1.5977,1.84725,0.75643,0.64772,0.68108,0.38766,1.56927,1.26518,1.90053,0.0007492,0.0007492,0.0007492
